date,label,debit,credit,balance
2026-08-15,operation 1,2300,0,184472
2026-08-11,operation 2,0,8545,193017
2026-07-09,operation 3,3912,0,189105
2026-07-25,operation 4,0,9543,198648
2026-08-11,operation 5,0,10455,209103
2026-08-28,operation 6,18120,0,190983
2026-07-16,operation 7,0,1300,192283
2026-08-26,operation 8,6099,0,186184
2026-08-09,operation 9,3069,0,183115
2026-08-18,operation 10,0,19069,202184
2026-07-03,operation 11,19335,0,182849
2026-08-16,operation 12,4183,0,178666
2026-07-23,operation 13,0,16384,195050
# fictional sandbox data
